"Date","Price","Open","High","Low","Vol.","Change %"
"04/21/2024","7.138","7.234","7.280","6.985","11.26M","-1.32%"
"04/20/2024","7.234","6.678","7.271","6.615","5.10M","8.31%"
"04/19/2024","6.678","6.783","6.895","6.295","18.96M","-1.54%"
"04/18/2024","6.783","6.583","6.816","6.456","9.32M","3.03%"
"04/17/2024","6.583","6.705","6.771","6.351","12.15M","-1.82%"
"04/16/2024","6.705","6.706","6.806","6.459","14.32M","-0.02%"
"04/15/2024","6.706","6.860","7.197","6.452","24.73M","-2.25%"
"04/14/2024","6.860","6.392","6.918","6.210","38.97M","7.33%"
"04/13/2024","6.392","7.246","7.324","5.766","52.80M","-11.78%"
"04/12/2024","7.246","8.377","8.480","6.621","46.20M","-13.50%"
"04/11/2024","8.377","8.409","8.514","8.196","12.08M","-0.42%"
"04/10/2024","8.412","8.661","8.688","8.201","16.80M","-2.90%"
"04/09/2024","8.663","9.045","9.095","8.637","16.97M","-4.22%"
"04/08/2024","9.045","8.705","9.082","8.577","14.31M","3.91%"
"04/07/2024","8.705","8.493","8.738","8.463","10.03M","2.50%"
"04/06/2024","8.493","8.384","8.549","8.339","8.18M","1.29%"
"04/05/2024","8.384","8.483","8.499","8.092","24.22M","-1.17%"
"04/04/2024","8.483","8.425","8.706","8.275","13.70M","0.70%"
"04/03/2024","8.425","8.582","8.767","8.288","14.73M","-1.83%"
"04/02/2024","8.582","9.150","9.150","8.385","64.51M","-6.22%"
"04/01/2024","9.150","9.641","9.726","8.949","17.86M","-5.09%"
"03/31/2024","9.641","9.432","9.642","9.419","6.44M","2.21%"
"03/30/2024","9.432","9.599","9.685","9.396","8.52M","-1.73%"
"03/29/2024","9.599","9.523","9.788","9.367","17.63M","0.79%"
"03/28/2024","9.523","9.436","9.652","9.303","14.88M","0.95%"
"03/27/2024","9.433","9.688","9.794","9.338","18.98M","-2.61%"
"03/26/2024","9.687","9.730","10.052","9.533","22.41M","-0.45%"
"03/25/2024","9.730","9.369","9.821","9.302","26.00M","3.86%"
